FILE,ENERGY_JOULES,TIME_SECONDS
results_asyncawait_post_20250412_1700.txt,4.19,1.285124394
results_asyncawait_post_20250412_1705.txt,3.55,1.267140460
results_asyncawait_post_20250412_1710.txt,3.40,1.257540035
results_asyncawait_post_20250412_1715.txt,3.29,1.257041676
results_asyncawait_post_20250412_1721.txt,3.08,1.256149393
results_asyncawait_post_20250412_1725.txt,3.33,1.262972947
results_asyncawait_post_20250412_1730.txt,3.42,1.258187119
results_asyncawait_post_20250412_1735.txt,3.31,1.258770471
results_asyncawait_post_20250412_1740.txt,3.13,1.257378497
results_asyncawait_post_20250412_1745.txt,3.28,1.262997569
results_asyncawait_post_20250412_1750.txt,3.46,1.259595228
results_asyncawait_post_20250412_1755.txt,3.18,1.256134689
results_asyncawait_post_20250412_1800.txt,3.40,1.257384585
results_asyncawait_post_20250412_1805.txt,3.63,1.256761065
results_asyncawait_post_20250412_1810.txt,4.19,1.259774842
results_asyncawait_post_20250412_1815.txt,3.47,1.258490508
results_asyncawait_post_20250412_1820.txt,3.70,1.261603505
results_asyncawait_post_20250412_1825.txt,3.13,1.260642447
results_asyncawait_post_20250412_1830.txt,3.27,1.263586168
results_asyncawait_post_20250412_1835.txt,3.51,1.258541239
results_asyncawait_post_20250412_1840.txt,3.09,1.257763001
results_asyncawait_post_20250412_1845.txt,2.92,1.259064173
results_asyncawait_post_20250412_1850.txt,2.85,1.258833718
results_asyncawait_post_20250412_1855.txt,3.21,1.256659999
results_asyncawait_post_20250412_1900.txt,3.46,1.260593538
results_asyncawait_post_20250412_1905.txt,3.50,1.259442030
results_asyncawait_post_20250412_1910.txt,3.35,1.262631208
results_asyncawait_post_20250412_1915.txt,3.27,1.258805560
results_asyncawait_post_20250412_1920.txt,3.26,1.259508482
results_asyncawait_post_20250412_1925.txt,3.66,1.259098017
