FILE,ENERGY_JOULES,TIME_SECONDS
results_promise_post_20250411_2225.txt,3.21,1.274413475
results_promise_post_20250411_2230.txt,3.39,1.257021785
results_promise_post_20250411_2235.txt,2.94,1.258545181
results_promise_post_20250411_2240.txt,2.85,1.257289179
results_promise_post_20250411_2245.txt,2.86,1.260215731
results_promise_post_20250411_2250.txt,3.31,1.260030524
results_promise_post_20250411_2255.txt,2.91,1.258167650
results_promise_post_20250411_2300.txt,3.43,1.258627201
results_promise_post_20250411_2305.txt,3.45,1.258013704
results_promise_post_20250411_2310.txt,3.47,1.258303633
results_promise_post_20250411_2315.txt,3.43,1.263379357
results_promise_post_20250411_2320.txt,3.51,1.260980015
results_promise_post_20250411_2325.txt,2.99,1.260038112
results_promise_post_20250411_2330.txt,3.09,1.263825719
results_promise_post_20250411_2335.txt,3.39,1.260011345
results_promise_post_20250411_2340.txt,3.51,1.258715231
results_promise_post_20250411_2345.txt,3.57,1.260456594
results_promise_post_20250411_2350.txt,2.82,1.259793007
results_promise_post_20250411_2355.txt,3.05,1.259938416
results_promise_post_20250412_0000.txt,3.07,1.258055700
results_promise_post_20250412_0005.txt,3.13,1.261119428
results_promise_post_20250412_0010.txt,3.02,1.255185100
results_promise_post_20250412_0015.txt,3.59,1.262725488
results_promise_post_20250412_0020.txt,4.51,1.260839450
results_promise_post_20250412_0025.txt,3.48,1.260141450
results_promise_post_20250412_0030.txt,2.94,1.257588769
results_promise_post_20250412_0035.txt,3.38,1.259579822
results_promise_post_20250412_0040.txt,3.31,1.259331698
results_promise_post_20250412_0045.txt,3.12,1.258508672
results_promise_post_20250412_0050.txt,3.36,1.259315346
