FILE,ENERGY_JOULES,TIME_SECONDS
results_promise_20250415_2145.txt,4.41,1.434467289
results_promise_20250415_2150.txt,2.63,1.251582344
results_promise_20250415_2155.txt,3.67,1.258736433
results_promise_20250415_2200.txt,3.73,1.250744410
results_promise_20250415_2205.txt,5.30,1.246649713
results_promise_20250415_2210.txt,3.16,1.253981766
results_promise_20250415_2215.txt,3.01,1.255405796
results_promise_20250415_2220.txt,3.06,1.254696325
results_promise_20250415_2225.txt,3.40,1.250704949
results_promise_20250415_2230.txt,3.15,1.248820797
results_promise_20250415_2235.txt,3.07,1.253690573
results_promise_20250415_2240.txt,3.13,1.255725054
results_promise_20250415_2245.txt,2.90,1.256191249
results_promise_20250415_2250.txt,3.24,1.249806884
results_promise_20250415_2255.txt,3.01,1.252557404
results_promise_20250415_2300.txt,4.56,1.255321311
results_promise_20250415_2305.txt,3.05,1.252363183
results_promise_20250415_2310.txt,3.14,1.251105354
results_promise_20250415_2315.txt,4.00,1.249991205
results_promise_20250415_2320.txt,3.46,1.249323790
results_promise_20250415_2325.txt,3.08,1.249403015
results_promise_20250415_2330.txt,2.91,1.252366668
results_promise_20250415_2335.txt,3.02,1.248954357
results_promise_20250415_2340.txt,2.76,1.256113413
results_promise_20250415_2345.txt,2.96,1.250507087
results_promise_20250415_2350.txt,2.90,1.248996872
results_promise_20250415_2355.txt,3.27,1.255060981
results_promise_20250416_0000.txt,3.07,1.254173181
results_promise_20250416_0005.txt,3.22,1.253164750
results_promise_20250416_0010.txt,2.76,1.247919706
